tSNE1,tSNE2
-53.719093,31.086323
-11.599191,-11.049439
-19.570316,-60.778744
25.681234,-57.075603
-21.66532,43.017426
55.98352,-53.125168
47.31848,-0.39942953
25.331057,-64.13723
-39.039463,14.532735
57.076763,-28.08761
-36.40851,-33.632538
-41.343815,-48.85907
22.69035,14.60126
22.821228,-57.153206
72.20326,-8.160089
8.160076,47.12374
-50.852722,27.140612
-4.021167,38.113205
-4.7119718,-17.548176
20.960121,-55.457714
12.938309,-4.5475783
-9.976109,-28.857462
40.348587,45.587154
-70.70778,-6.813326
-73.95636,17.28538
-40.385418,13.455198
-47.031284,6.1201916
-12.212012,-52.420715
2.0421305,75.32902
37.773964,2.0868676
56.912018,-37.047924
-22.656828,60.36299
30.800697,-16.798288
-2.624546,51.501682
1.0543629,64.39431
-33.27975,-40.38433
53.03479,10.303318
16.072903,-63.79959
-44.022083,19.842773
8.136161,65.909355
-30.802889,-33.934433
-20.099796,-53.75577
11.456635,68.02183
63.958782,4.1615124
40.376328,41.42287
2.0182004,43.802017
77.358284,-5.6141844
-33.953236,14.189789
35.326504,-3.915598
69.842186,1.5789398
12.657153,47.172604
14.358738,51.17529
-71.04105,14.126674
21.52686,59.759945
36.625175,-30.811462
-19.895878,60.38263
-26.322557,-49.5188
-6.2443495,-52.971436
52.98331,-42.327652
59.142326,-40.286053
63.28014,5.6163044
5.9728203,68.65025
-17.78347,-60.52189
-39.25453,-33.515472
26.21052,30.61377
-4.581315,7.445919
18.951181,-67.45875
26.2665,-56.17969
57.53101,-46.426563
-2.50817,11.766621
1.1192677,52.80375
35.179764,40.39421
-64.56479,6.284621
-34.930805,22.295246
41.285328,43.263725
54.641937,7.611848
-13.906392,-10.557568
31.942379,26.816645
-13.506052,-23.891443
-37.21754,-28.667576
53.189163,-44.497963
-20.459156,-52.067566
17.754694,52.02514
37.854782,38.5788
-5.7085824,70.95326
-50.949104,3.7653084
-54.806667,17.41057
-21.894287,61.20777
53.347095,-31.336039
-29.145334,-40.354477
50.033096,-43.44035
-68.62237,13.324602
-9.1356,-42.554756
6.9931107,62.160824
43.72391,4.768959
-0.27011147,8.914869
57.9803,-52.28117
60.82726,-46.238422
-60.712627,-7.8870735
76.86947,-4.255792
-73.654366,-2.5525413
-67.57685,-1.4159539
-3.0086234,-6.2251554
-7.917545,-45.07076
-47.30114,24.74309
-57.646935,20.5356
69.89535,-4.660837
71.00783,0.5142226
-22.751749,-0.50218713
20.650734,9.073072
-51.332016,2.2674356
31.98011,-19.576424
55.67006,-43.69614
-53.001556,20.648565
-0.7304132,69.29449
-6.4865513,68.59066
59.413464,-7.564617
-63.468258,21.630621
21.356556,-26.538689
8.317263,64.312744
-15.299567,-11.466325
-60.2666,-7.662426
37.593735,-27.902748
-18.939995,4.646615
-70.73329,-1.445487
0.7216448,8.367342
35.269165,25.715921
27.616678,-61.700092
-36.317585,-51.514114
40.712727,41.437653
-16.69911,-8.346089
-5.77255,-53.328304
42.496685,35.314198
-58.369877,-1.656282
-73.80828,0.90690917
-42.489155,-50.42344
42.37099,-2.963714
24.045609,-63.515858
23.285873,-57.135548
33.626606,-11.45311
31.607655,24.833319
34.72063,43.174892
58.19064,-38.91875
25.410444,14.013867
-19.897768,2.9118629
68.43193,5.5089626
42.584373,-17.60437
6.0501986,43.140728
28.22721,-26.521534
-20.179358,-51.756504
21.772427,-66.00485
72.946266,-0.24154757
-1.8893757,40.209248
-25.546799,-52.143574
-33.47374,8.303391
-48.002567,0.22550954
7.32308,70.37215
12.901159,0.8957975
9.659463,-53.07911
-7.938461,-3.8055892
-13.554871,-26.939137
23.779333,17.562685
65.7687,3.7682426
59.219494,-9.799249
33.705856,-26.539091
-37.93511,-40.253124
78.10754,-4.6532764
-18.687243,41.839745
-26.985151,44.447155
74.79397,-7.683126
-61.74211,1.6069263
22.718128,14.33985
56.705593,-40.549477
36.687454,37.866837
-11.830556,-8.468281
-15.4556265,-0.5898639
-36.553017,-37.952904
10.705753,-50.09307
-44.038334,32.71714
44.538803,1.6083721
-21.472551,-48.321133
44.454575,-3.9810781
37.354275,-16.388374
-29.644135,-44.52825
-4.8947935,40.503418
-56.235558,-8.629483
18.159206,-5.2018766
48.580807,-38.62137
58.791767,-12.194574
-8.048139,55.38361
62.212,-50.076786
-16.58011,43.03231
22.507263,-47.73098
-3.4363813,-10.168575
-52.209286,1.7344321
38.572132,19.01354
-15.078805,-1.0415092
15.101745,-28.527319
-58.294582,10.391593
-44.42445,22.930567
-40.04031,-9.133586
5.985203,21.077301
-22.14346,37.775097
-63.94068,10.122022
-0.8601549,68.337715
-3.749709,67.68865
45.91211,-19.817087
31.918367,12.837165
9.3632345,-61.539547
1.423273,58.39105
-57.78997,12.299096
-2.726169,2.8721511
-2.429098,41.922646
31.375237,29.516375
11.048527,-58.078506
-19.215961,-50.67407
-63.15799,-2.6270003
33.78283,-11.678282
-37.170063,19.769207
-26.005327,-51.99498
11.790784,43.160393
-10.6518545,17.789349
19.25332,-48.607166
36.711235,-13.175277
75.60062,5.0642037
9.405515,65.704414
12.592079,-55.696682
16.282274,61.174084
-66.346756,-14.039348
21.419477,-48.666103
78.95272,-2.6720383
43.422318,42.917156
-12.178491,9.323455
12.475987,-59.204613
53.632786,12.417075
47.203247,-44.21364
78.13983,-6.2118645
-0.15655449,68.80283
-25.243866,-48.709484
-39.606724,-50.547173
12.195903,-59.297195
59.008476,-37.494717
-9.861915,45.934776
-37.317726,-4.3844633
-65.62576,8.790732
-17.11666,61.923573
30.55252,8.163794
47.970905,-35.32217
42.69096,-20.579514
5.2153287,15.7632675
4.3150606,-21.11616
-38.207474,-51.666317
80.2898,-7.040328
-2.974312,-6.0075893
-28.828873,-59.869987
-59.43282,19.859444
59.23719,-10.062337
60.82724,-46.236675
-59.610233,-8.3059
12.026377,72.053
60.265976,-39.589455
65.178024,-5.944617
-6.292668,16.562765
66.22452,-14.680609
-69.65405,14.900836
-21.085752,-54.912403
12.122123,-48.442352
18.545965,-0.24264719
-34.04422,14.293738
-20.41775,-45.137978
-39.63297,1.8464519
-9.919542,64.15587
-42.706516,-46.011024
2.22896,75.162994
34.611618,29.464575
8.706835,-0.52700424
72.15917,-9.7837305
-0.9025083,-20.917383
-17.015848,-54.77159
-53.981583,-10.576356
55.01781,6.825748
-4.4210587,-5.3001294
9.440487,-61.232605
17.49075,-56.48368
-65.028885,24.548716
-14.495119,17.419298
-42.68917,10.8338995
-39.64857,-50.615734
-42.00368,30.681063
-6.93904,37.04508
60.94107,-42.785328
-41.29639,2.0459116
53.261936,-31.957989
-4.303992,-10.922099
74.19874,2.8022335
46.89018,-50.90579
32.982536,14.990079
27.071314,-31.792461
37.1329,-15.614793
16.357712,-47.77498
-17.020552,-61.825546
4.428849,52.684563
11.367644,68.05422
-17.279364,39.42037
2.471636,-24.263742
-40.18767,14.400236
-30.639822,-61.553024
20.104033,-30.48819
64.9189,-5.234306
-8.3735285,13.245398
58.6172,-28.887257
-0.07239453,45.969883
-1.0332363,59.28828
-26.130304,-44.781204
43.463406,2.2827618
-53.193787,13.980149
7.1011405,-52.845367
-57.81634,15.488227
1.9951388,32.92121
-8.387005,49.664097
-18.646128,33.334377
-34.491055,1.2906396
-57.729767,-5.23006
-64.4594,-5.959379
13.719271,54.12639
0.5128838,-22.802818
-31.918818,-36.58725
39.56238,36.098267
37.1089,28.025705
8.511829,65.4377
20.034292,-54.39987
61.133026,-41.37062
71.05618,2.2946248
-12.342489,9.14854
15.446897,-8.835392
44.51874,39.223152
31.40784,39.85218
76.3288,-8.451598
-26.689686,-52.7673
-19.519169,-44.895084
-63.841705,24.340797
-73.913315,17.160135
-36.660572,-6.5083604
-40.859573,-42.6198
-2.7263267,44.293255
-10.433936,41.65728
7.564028,0.75443935
51.874756,10.621351
15.941254,-49.814793
-15.635517,-8.948262
19.244995,56.31304
14.388738,-48.723866
32.87074,37.61459
-59.613884,-8.40477
-64.301155,11.056646
-11.803199,56.370716
67.603355,6.620657
23.847837,-65.57191
-3.5350666,57.12417
-15.098596,-49.02292
9.449186,-58.09387
-57.518562,14.010389
10.532177,-49.100666
15.527348,-7.9959316
