case_number,latitude,longitude,cluster
JK237175,41.88233,-87.62784,0
JK237195,41.707096,-87.62884,0
JK236560,41.765137,-87.71343,0
JK244394,41.85669,-87.694145,0
JK236919,41.72562,-87.5973,0
JK237495,41.7903,-87.76588,-1
JK241871,41.89589,-87.67839,0
JK236438,41.752316,-87.61498,0
JK236526,41.94581,-87.67294,0
JK236732,41.985935,-87.69196,0
JK236532,41.994907,-87.69467,0
JK236429,41.74777,-87.665794,0
JK236423,41.77602,-87.61552,0
JK236642,41.913536,-87.764366,0
JK236426,41.955795,-87.67638,0
JK236454,41.756733,-87.5639,0
JK239410,41.964462,-87.661,0
JK238150,41.943123,-87.64937,0
JK236489,41.939865,-87.65714,0
JK236582,41.897232,-87.72186,0
JK236648,41.858902,-87.64191,0
JK236405,41.72915,-87.601006,0
JK236409,41.82378,-87.6213,0
JK236404,41.927906,-87.77829,0
JK236854,41.798557,-87.66349,0
JK236411,41.789455,-87.6888,0
JK237307,41.788395,-87.62231,0
JK236435,41.887592,-87.618355,0
JK236393,41.865585,-87.76518,0
JK236427,41.70266,-87.61852,0
JK236396,41.815235,-87.666374,0
JK236408,41.862217,-87.639084,0
JK236359,41.83764,-87.61501,0
JK236400,41.76263,-87.64677,0
JK236384,41.85638,-87.70538,0
JK236577,41.82693,-87.62772,0
JK237006,41.897987,-87.72986,0
JK236417,41.816875,-87.60137,0
JK236382,41.89002,-87.648766,0
JK236759,41.945866,-87.767914,0
JK236397,41.778244,-87.70312,0
JK236392,41.723934,-87.66031,0
JK236385,41.74488,-87.601364,0
JK236368,41.697086,-87.62084,0
JK236398,41.76424,-87.58514,0
JK236947,41.75328,-87.66473,0
JK237560,41.906643,-87.769455,0
JK239479,41.92532,-87.74034,0
JK242596,41.980553,-87.65793,0
JK236878,41.790382,-87.63173,0
JK236601,41.768776,-87.58724,0
JK236973,41.859756,-87.65722,0
JK236364,41.943626,-87.682106,0
JK236353,41.813206,-87.66509,0
JK236366,41.88465,-87.627914,0
JK236563,41.654526,-87.54591,-1
JK236367,41.80339,-87.62106,0
JK236373,41.774975,-87.687195,0
JK236352,41.83148,-87.646126,0
JK236372,41.986763,-87.76423,-1
JK236390,41.93996,-87.73044,0
JK236356,41.88195,-87.633064,0
JK236379,41.918278,-87.64189,0
JK236520,41.881104,-87.63234,0
JK236425,41.84698,-87.68222,0
JK236354,41.974075,-87.74064,0
JK236311,41.747387,-87.585884,0
JK236334,41.79563,-87.62411,0
JK236575,41.775967,-87.61432,0
JK240209,41.98583,-87.81186,-1
JK237002,41.72785,-87.58202,0
JK236523,41.847656,-87.70757,0
JK241198,41.927727,-87.743996,0
JK236338,41.961098,-87.74757,0
JK236355,41.765556,-87.622734,0
JK236343,41.657265,-87.599945,1
JK236365,41.756443,-87.62432,0
JK236328,41.761543,-87.581955,0
