case_number,latitude,longitude,cluster
JK154494,41.778885,-87.66421,3
JK193121,41.9161,-87.708626,0
JK208472,41.683292,-87.61677,6
JK159953,41.858433,-87.71766,4
JK204774,41.89195,-87.628075,2
JK158657,41.88453,-87.68937,4
JK224051,41.903076,-87.68367,4
JK144152,41.873184,-87.7438,4
JK218812,41.876907,-87.628426,2
JK212877,41.867783,-87.66031,4
JK190544,41.88309,-87.68014,4
JK140423,41.798977,-87.591774,5
JK149823,41.77008,-87.62829,5
JK198392,41.902924,-87.69729,4
JK182408,41.982708,-87.73863,1
JK228110,41.7648,-87.57694,7
JK149303,41.812233,-87.61152,2
JK142083,41.813263,-87.69313,3
JK235871,41.90512,-87.76576,0
JK201107,41.85392,-87.63263,2
JK156159,41.734165,-87.56148,7
JK216400,41.884514,-87.67428,4
JK152664,41.874485,-87.71834,4
JK220405,41.75755,-87.63569,5
JK146843,41.88217,-87.77038,0
JK144552,41.787888,-87.58791,7
JK188435,41.79443,-87.59032,5
JK189895,41.8066,-87.685524,3
JK210217,41.929745,-87.68427,1
JK220583,41.994305,-87.67765,1
JK212482,41.73287,-87.570755,7
JK216910,41.82637,-87.63288,2
JK145308,41.96833,-87.72001,1
JK174975,41.72934,-87.64343,6
JK146973,41.921906,-87.64264,1
JK155500,41.847233,-87.67571,4
JK218696,41.881184,-87.68508,4
JK166292,41.87136,-87.62958,2
JK166465,41.722916,-87.60451,7
JK228160,41.752605,-87.58712,7
JK168874,41.86507,-87.732475,4
JK212680,41.77834,-87.703125,3
JK174086,41.82026,-87.605095,2
JK177767,41.82286,-87.690636,3
JK153986,41.925102,-87.67199,1
JK196899,41.937317,-87.69288,0
JK143108,41.782806,-87.6903,3
JK152288,41.689983,-87.64109,6
JK207591,41.830116,-87.64122,2
JK204264,41.85519,-87.62387,2
JK192138,41.968437,-87.71005,1
JK167218,41.790672,-87.5932,5
JK169414,41.993355,-87.683586,1
JK185149,41.913456,-87.638664,2
JK211863,41.960945,-87.72813,1
JK223335,41.8799,-87.683174,4
JK145824,41.883076,-87.7496,0
JK177286,41.805046,-87.601616,5
JK188369,41.721195,-87.664024,6
JK192196,41.968533,-87.654816,1
JK188667,41.991898,-87.67911,1
JK189113,41.66821,-87.63798,6
JK238777,41.72622,-87.56729,7
JK191728,41.895912,-87.72243,0
JK213915,41.80422,-87.72266,3
JK234886,41.779015,-87.6156,5
JK207631,41.933872,-87.70543,0
JK235442,41.783318,-87.593124,7
JK156754,41.780125,-87.68366,3
JK209433,41.78483,-87.64491,3
JK219734,41.88239,-87.624374,2
JK159190,41.933292,-87.66943,1
JK149205,41.689922,-87.6496,6
JK192407,41.74811,-87.72424,3
JK198618,41.85869,-87.63189,2
JK231851,41.75483,-87.67205,5
JK224644,41.866997,-87.62742,2
JK183189,41.944473,-87.645515,1
JK227305,41.803673,-87.70385,3
JK219776,41.888756,-87.63399,2
JK181436,41.862907,-87.65686,4
JK184869,41.693485,-87.62398,6
JK208996,41.954617,-87.70804,1
JK230936,41.717705,-87.56886,7
JK216965,41.970707,-87.72447,1
JK196166,41.747826,-87.6658,5
JK170836,41.956005,-87.67714,1
JK202534,41.975773,-87.7051,1
JK217594,41.72109,-87.6714,6
JK164467,41.873184,-87.7438,4
JK218228,41.788986,-87.74148,3
JK188466,41.765594,-87.62102,5
JK161081,41.886024,-87.61914,2
JK168911,41.769196,-87.62269,5
JK217560,41.912663,-87.681984,1
JK189608,41.91754,-87.78281,0
JK154491,41.853836,-87.62552,2
JK222828,41.933685,-87.72156,0
JK218218,41.765736,-87.66382,5
JK191779,41.934658,-87.74672,0
JK183423,41.895733,-87.68778,4
JK185916,41.7293,-87.63194,6
JK195288,41.887695,-87.65746,4
JK174772,41.777122,-87.645935,5
JK176155,41.752335,-87.600365,7
JK199329,41.719757,-87.63456,6
